kind,id,namespace,gated_namespace,removed,source,detail
entity,minecraft:dolphin,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.13, UNVERIFIED)"
entity,minecraft:trident,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.13, UNVERIFIED)"
entity,minecraft:item_frame,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.4, UNVERIFIED)"
entity,minecraft:phantom,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.13, UNVERIFIED)"
entity,minecraft:text_display,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:wither_skeleton,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.4, UNVERIFIED)"
entity,minecraft:piglin_brute,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.16, UNVERIFIED)"
entity,minecraft:end_crystal,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.9, UNVERIFIED)"
entity,minecraft:area_effect_cloud,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.9, UNVERIFIED)"
entity,minecraft:frog,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.19, UNVERIFIED)"
entity,minecraft:experience_orb,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:endermite,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.8, UNVERIFIED)"
entity,minecraft:tadpole,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.19, UNVERIFIED)"
entity,minecraft:arrow,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:bee,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.15, UNVERIFIED)"
entity,minecraft:cow,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:hopper_minecart,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.5, UNVERIFIED)"
entity,minecraft:spider,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:command_block_minecart,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:small_fireball,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:painting,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:cod,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.13, UNVERIFIED)"
entity,minecraft:interaction,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:snow_golem,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.0.0, UNVERIFIED)"
entity,minecraft:fishing_bobber,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:polar_bear,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.10, UNVERIFIED)"
entity,minecraft:potion,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.9, UNVERIFIED)"
entity,minecraft:furnace_minecart,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:wandering_trader,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.14, UNVERIFIED)"
entity,minecraft:boat,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:experience_bottle,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.9, UNVERIFIED)"
entity,minecraft:hoglin,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.16, UNVERIFIED)"
entity,minecraft:pillager,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.14, UNVERIFIED)"
entity,minecraft:rabbit,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.8, UNVERIFIED)"
entity,minecraft:magma_cube,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.0.0, UNVERIFIED)"
entity,minecraft:allay,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.19, UNVERIFIED)"
entity,minecraft:bat,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.4, UNVERIFIED)"
entity,minecraft:camel,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.20, UNVERIFIED)"
entity,minecraft:player,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:blaze,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.0.0, UNVERIFIED)"
entity,minecraft:llama,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.11, UNVERIFIED)"
entity,minecraft:piglin,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.16, UNVERIFIED)"
entity,minecraft:chicken,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:slime,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:panda,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.14, UNVERIFIED)"
entity,minecraft:armor_stand,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.8, UNVERIFIED)"
entity,minecraft:donkey,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.6, UNVERIFIED)"
entity,minecraft:skeleton,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:parrot,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.12, UNVERIFIED)"
entity,minecraft:ender_dragon,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.0.0, UNVERIFIED)"
entity,minecraft:shulker_bullet,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.9, UNVERIFIED)"
entity,minecraft:salmon,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.13, UNVERIFIED)"
entity,minecraft:glow_item_frame,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.17, UNVERIFIED)"
entity,minecraft:llama_spit,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.11, UNVERIFIED)"
entity,minecraft:snowball,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:tnt,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:skeleton_horse,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:item,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:elder_guardian,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.8, UNVERIFIED)"
entity,minecraft:strider,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.16, UNVERIFIED)"
entity,minecraft:goat,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.17, UNVERIFIED)"
entity,minecraft:fox,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.14, UNVERIFIED)"
entity,minecraft:mule,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.6, UNVERIFIED)"
entity,minecraft:chest_boat,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:giant,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:fireball,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:zombie_villager,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.14, UNVERIFIED)"
entity,minecraft:silverfish,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:sheep,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:firework_rocket,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.9, UNVERIFIED)"
entity,minecraft:guardian,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.8, UNVERIFIED)"
entity,minecraft:husk,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.10, UNVERIFIED)"
entity,minecraft:cat,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.14, UNVERIFIED)"
entity,minecraft:iron_golem,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.2, UNVERIFIED)"
entity,minecraft:zombie_horse,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:sniffer,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.20, UNVERIFIED)"
entity,minecraft:dragon_fireball,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.9, UNVERIFIED)"
entity,minecraft:item_display,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:tropical_fish,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.13, UNVERIFIED)"
entity,minecraft:egg,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:ender_pearl,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:witch,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.4, UNVERIFIED)"
entity,minecraft:wither,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.4, UNVERIFIED)"
entity,minecraft:eye_of_ender,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:falling_block,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:zoglin,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.16, UNVERIFIED)"
entity,minecraft:creeper,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:stray,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.10, UNVERIFIED)"
entity,minecraft:illusioner,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.11, UNVERIFIED)"
entity,minecraft:pufferfish,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.13, UNVERIFIED)"
entity,minecraft:wither_skull,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.4, UNVERIFIED)"
entity,minecraft:shulker,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.9, UNVERIFIED)"
entity,minecraft:turtle,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.13, UNVERIFIED)"
entity,minecraft:spectral_arrow,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.9, UNVERIFIED)"
entity,minecraft:block_display,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:tnt_minecart,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.5, UNVERIFIED)"
entity,minecraft:cave_spider,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:villager,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.14, UNVERIFIED)"
entity,minecraft:wolf,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:ocelot,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.2, UNVERIFIED)"
entity,minecraft:vex,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.11, UNVERIFIED)"
entity,minecraft:pig,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:zombified_piglin,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:drowned,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.13, UNVERIFIED)"
entity,minecraft:zombie,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:ghast,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:trader_llama,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.11, UNVERIFIED)"
entity,minecraft:axolotl,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.17, UNVERIFIED)"
entity,minecraft:evoker_fangs,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.11, UNVERIFIED)"
entity,minecraft:mooshroom,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.0.0, UNVERIFIED)"
entity,minecraft:ravager,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.14, UNVERIFIED)"
entity,minecraft:leash_knot,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:horse,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.6, UNVERIFIED)"
entity,minecraft:spawner_minecart,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
entity,minecraft:evoker,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.11, UNVERIFIED)"
entity,minecraft:marker,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:minecart,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:chest_minecart,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:warden,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.19, UNVERIFIED)"
entity,minecraft:vindicator,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.11, UNVERIFIED)"
entity,minecraft:glow_squid,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, added 1.17, UNVERIFIED)"
entity,minecraft:enderman,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
entity,minecraft:lightning_bolt,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, UNVERIFIED)"
entity,minecraft:squid,minecraft,true,false,MANIFEST_DEFAULT,"manifest.json (keep, added b1.8 or earlier, verified)"
item,minecraft:charcoal,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:dark_oak_button,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:netherite_axe,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:structure_block,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:polished_blackstone_brick_slab,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:cherry_sapling,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:basalt,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:chiseled_deepslate,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:gray_candle,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:brown_mushroom,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:gold_ingot,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:red_wool,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:stripped_dark_oak_wood,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:stonecutter,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
item,minecraft:soul_torch,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:nether_gold_ore,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:bone_block,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:raw_iron,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:eye_armor_trim_smithing_template,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:black_concrete,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
